,timestamp,user_id,content_id,content_type_id,task_container_id,user_answer,answered_correctly,prior_question_elapsed_time,prior_question_had_explanation,bundle_id,correct_answer,part,tags,tag,type_of,timestampdiff,change_session,session,session_nth
0,0,24600,7900,0,0,0,1.0,,,7900,0,1,131 93 81,-1,,,0,0,0
1,25379,24600,7876,0,1,2,0.0,24000.0,False,7876,3,1,10 94 92,-1,,25379.0,0,0,1
2,50137,24600,175,0,2,2,1.0,23000.0,False,175,2,1,9 10 92,-1,,24758.0,0,0,2
3,70181,24600,1278,0,3,3,1.0,22000.0,False,1278,3,2,143 140 81 29,-1,,20044.0,0,0,3
4,148601,24600,2064,0,4,2,0.0,18000.0,False,2063,1,3,157 92 29,-1,,78420.0,0,0,4
5,148601,24600,2065,0,4,2,1.0,18000.0,False,2063,2,3,136 162 92 29,-1,,0.0,0,0,5
6,148601,24600,2063,0,4,1,0.0,18000.0,False,2063,0,3,136 92 29,-1,,0.0,0,0,6
7,219354,24600,3364,0,5,0,0.0,24333.0,False,3363,1,4,136 103 29,-1,,70753.0,0,0,7
8,219354,24600,3365,0,5,1,0.0,24333.0,False,3363,2,4,136 103 29,-1,,0.0,0,0,8
9,219354,24600,3363,0,5,2,0.0,24333.0,False,3363,3,4,74 103 29,-1,,0.0,0,0,9
10,269785,24600,2947,0,6,3,0.0,22000.0,False,2946,1,4,74 67 92,-1,,50431.0,0,0,10
11,269785,24600,2946,0,6,2,0.0,22000.0,False,2946,3,4,136 67 92,-1,,0.0,0,0,11
12,269785,24600,2948,0,6,3,0.0,22000.0,False,2946,0,4,136 67 92,-1,,0.0,0,0,12
13,333047,24600,2595,0,7,1,0.0,15333.0,False,2593,0,4,82 103 102,-1,,63262.0,0,0,13
14,333047,24600,2594,0,7,0,0.0,15333.0,False,2593,2,4,161 103 102,-1,,0.0,0,0,14
15,333047,24600,2593,0,7,0,0.0,15333.0,False,2593,3,4,136 103 102,-1,,0.0,0,0,15
16,345372,24600,4492,0,8,0,0.0,19000.0,False,4492,2,5,80,-1,,12325.0,0,0,16
17,356521,24600,4120,0,9,3,0.0,10000.0,False,4120,0,5,123,-1,,11149.0,0,0,17
18,365712,24600,4696,0,10,0,1.0,9000.0,False,4696,0,5,133,-1,,9191.0,0,0,18
19,382772,24600,6116,0,11,0,0.0,7000.0,False,6116,3,5,23,-1,,17060.0,0,0,19
20,392297,24600,6173,0,12,1,0.0,15000.0,False,6173,2,5,151,-1,,9525.0,0,0,20
21,436800,24600,6370,0,13,0,0.0,8000.0,False,6370,2,5,79,-1,,44503.0,0,0,21
22,578220,24600,6880,0,14,2,0.0,42000.0,False,6877,0,6,73,-1,,141420.0,0,0,22
23,578220,24600,6877,0,14,3,0.0,42000.0,False,6877,2,6,96,-1,,0.0,0,0,23
24,578220,24600,6878,0,14,0,0.0,42000.0,False,6877,1,6,65,-1,,0.0,0,0,24
25,578220,24600,6879,0,14,3,0.0,42000.0,False,6877,2,6,27,-1,,0.0,0,0,25
26,787980,24600,7217,0,15,2,1.0,34500.0,False,7216,2,7,50 118 21,-1,,209760.0,0,0,26
27,787980,24600,7219,0,15,0,0.0,34500.0,False,7216,2,7,50 19 21,-1,,0.0,0,0,27
28,787980,24600,7218,0,15,3,0.0,34500.0,False,7216,2,7,50 18 21,-1,,0.0,0,0,28
29,787980,24600,7216,0,15,0,0.0,34500.0,False,7216,3,7,97 50 21,-1,,0.0,0,0,29
30,890939,24600,4476,0,16,1,1.0,51250.0,False,4476,1,5,23,-1,,102959.0,0,0,30
31,916976,24600,4981,0,17,0,1.0,19000.0,True,4981,0,5,115,-1,,26037.0,0,0,31
32,936554,24600,6172,0,18,1,1.0,21000.0,True,6172,1,5,134,-1,,19578.0,0,0,32
33,956298,24600,9887,0,19,1,0.0,15000.0,True,9887,3,5,1,-1,,19744.0,0,0,33
34,980786,24600,5028,0,20,1,1.0,12000.0,True,5028,1,5,91,-1,,24488.0,0,0,34
35,1014010,24600,4716,0,21,1,1.0,16000.0,True,4716,1,5,109,-1,,33224.0,0,0,35
36,1058119,24600,3719,0,22,2,0.0,10000.0,True,3719,3,5,125,-1,,44109.0,0,0,36
37,1099651,24600,9821,0,23,1,0.0,13000.0,True,9821,3,5,73,-1,,41532.0,0,0,37
38,1161098,24600,4473,0,24,0,0.0,27000.0,True,4473,1,5,132,-1,,61447.0,0,0,38
39,1201410,24600,4108,0,25,2,0.0,54000.0,True,4108,0,5,23,-1,,40312.0,0,0,39
40,1326986,24600,646,0,26,3,1.0,29000.0,True,646,3,2,69 17 56 81 92,-1,,125576.0,0,0,40
41,1353977,24600,1067,0,27,1,1.0,30000.0,True,1067,1,2,129 2 56 162 38 92,-1,,26991.0,0,0,41
42,1377689,24600,940,0,28,3,0.0,18000.0,True,940,0,2,143 20 38 29,-1,,23712.0,0,0,42
43,1403698,24600,10685,0,29,0,1.0,16000.0,True,10685,0,2,69 137 142 38 29,-1,,26009.0,0,0,43
44,1426174,24600,817,0,30,1,1.0,18000.0,True,817,1,2,17 56 38 29,-1,,22476.0,0,0,44
45,1453702,24600,1262,0,31,0,0.0,16000.0,True,1262,1,2,143 71 81 29,-1,,27528.0,0,0,45
46,1477283,24600,1348,0,32,3,1.0,19000.0,True,1348,3,2,143 105 81 92,-1,,23581.0,0,0,46
47,1502268,24600,10686,0,33,3,0.0,14000.0,True,10686,0,2,62 137 142 38 29,-1,,24985.0,0,0,47
48,1526285,24600,754,0,34,3,0.0,19000.0,True,754,1,2,137 88 38 81,-1,,24017.0,0,0,48
49,1550831,24600,801,0,35,0,1.0,14000.0,True,801,0,2,143 20 38 29,-1,,24546.0,0,0,49
