,user_id,content_id,content_type_id,part,answered_correctly,is_val
45,24600,1262,0,2,0,1
46,24600,1348,0,2,1,1
47,24600,10686,0,2,0,1
48,24600,754,0,2,0,1
49,24600,801,0,2,1,1
83,108310,6770,0,6,1,1
84,108310,6769,0,6,1,1
85,108310,6771,0,6,1,1
86,108310,6772,0,6,1,1
1081,138650,6033,0,5,1,1
1082,138650,8473,0,5,1,1
1083,138650,9586,0,5,1,1
1084,138650,4094,0,5,0,1
1085,138650,5394,0,5,1,1
1086,138650,6125,0,5,1,1
1087,138650,9983,0,5,0,1
1088,138650,4457,0,5,1,1
1089,138650,4433,0,5,1,1
1090,138650,6428,0,5,0,1
1091,138650,9148,0,5,1,1
1092,138650,5836,0,5,1,1
1093,138650,5362,0,5,1,1
1094,138650,4779,0,5,0,1
1095,138650,9924,0,5,1,1
1096,138650,6475,0,5,0,1
1097,138650,9145,0,5,1,1
1098,138650,5665,0,5,1,1
1099,138650,6469,0,5,0,1
1100,138650,4992,0,5,1,1
1101,138650,8865,0,5,0,1
1102,138650,4190,0,5,0,1
1103,138650,4737,0,5,1,1
1104,138650,4811,0,5,1,1
1105,138650,8687,0,5,1,1
1106,138650,1144,0,2,1,1
1107,138650,1116,0,2,0,1
1108,138650,949,0,2,1,1
1109,138650,1050,0,2,1,1
1110,138650,1224,0,2,1,1
1111,138650,736,0,2,1,1
1112,138650,1372,0,2,1,1
1113,138650,1309,0,2,1,1
1114,138650,592,0,2,0,1
1115,138650,692,0,2,0,1
1116,138650,6045,0,5,1,1
1117,138650,3791,0,5,1,1
1118,138650,5330,0,5,1,1
1119,138650,9613,0,5,1,1
1120,138650,6018,0,5,1,1
1121,138650,6429,0,5,1,1
1122,138650,3749,0,5,1,1
1123,138650,9075,0,5,1,1
1124,138650,5256,0,5,1,1
1125,138650,3643,0,5,0,1
1126,138650,5175,0,5,0,1
1127,138650,5424,0,5,1,1
1128,138650,4854,0,5,1,1
1129,138650,9404,0,5,1,1
1130,138650,3968,0,5,1,1
1131,138650,3990,0,5,0,1
1132,138650,4402,0,5,0,1
1133,138650,8768,0,5,1,1
1134,138650,6107,0,5,1,1
1135,138650,6071,0,5,1,1
1136,138650,6062,0,5,1,1
1137,138650,9878,0,5,1,1
1138,138650,6095,0,5,1,1
1139,138650,5404,0,5,1,1
1140,138650,4768,0,5,1,1
1141,138650,9868,0,5,0,1
1142,138650,5432,0,5,0,1
1143,138650,8811,0,5,1,1
1144,138650,4128,0,5,1,1
1145,138650,4608,0,5,0,1
1146,138650,5254,0,5,1,1
1147,138650,8387,0,5,1,1
1148,138650,3906,0,5,0,1
1149,138650,3967,0,5,1,1
1150,138650,4421,0,5,1,1
1151,138650,8694,0,5,1,1
1152,138650,6430,0,5,1,1
1153,138650,4931,0,5,0,1
1154,138650,6670,0,5,1,1
1155,138650,9113,0,5,1,1
1156,138650,4079,0,5,0,1
1157,138650,5000,0,5,1,1
1158,138650,3609,0,5,1,1
1159,138650,8833,0,5,0,1
1160,138650,4254,0,5,1,1
1161,138650,6260,0,5,0,1
1162,138650,5954,0,5,0,1
1163,138650,9583,0,5,1,1
1164,138650,6340,0,5,1,1
1165,138650,3632,0,5,1,1
1166,138650,4529,0,5,1,1
1167,138650,11458,0,5,1,1
1168,138650,6686,0,5,0,1
1169,138650,3983,0,5,1,1
1170,138650,4244,0,5,1,1
1171,138650,9357,0,5,0,1
1172,138650,5389,0,5,1,1
1173,138650,4077,0,5,1,1
1174,138650,4384,0,5,1,1
1175,138650,9666,0,5,1,1
1176,138650,4129,0,5,0,1
1177,138650,5281,0,5,0,1
1178,138650,4179,0,5,0,1
1179,138650,8616,0,5,1,1
1180,138650,4437,0,5,1,1
1181,138650,4388,0,5,1,1
1182,138650,1307,0,2,0,1
1183,138650,985,0,2,1,1
1184,138650,249,0,2,1,1
1185,138650,894,0,2,0,1
1186,138650,606,0,2,0,1
1187,138650,352,0,2,1,1
1188,138650,1200,0,2,0,1
1189,138650,1053,0,2,1,1
1190,138650,1280,0,2,1,1
1191,138650,231,0,2,1,1
1330,301590,14443,1,5,-1,1
1331,301590,3609,0,5,1,1
1332,301590,5199,0,5,1,1
1333,301590,4818,0,5,0,1
1334,301590,4469,0,5,0,1
1335,301590,3642,0,5,0,1
1336,301590,4433,0,5,0,1
1337,301590,6125,0,5,0,1
1338,301590,4078,0,5,0,1
1339,301590,4040,0,5,1,1
1340,301590,4064,0,5,0,1
1341,301590,5703,0,5,0,1
1342,301590,4984,0,5,1,1
1343,301590,4964,0,5,0,1
1344,301590,6102,0,5,1,1
1345,301590,4995,0,5,1,1
1411,341420,5712,0,5,0,1
1412,341420,6106,0,5,0,1
1413,341420,11707,0,5,1,1
1414,341420,6002,0,5,0,1
1415,341420,13518,0,5,1,1
1416,341420,5262,0,5,0,1
1417,341420,9013,0,5,1,1
1418,341420,6661,0,5,0,1
1625,385630,4737,0,5,0,1
1626,385630,5310,0,5,0,1
1627,385630,4818,0,5,0,1
1628,385630,4496,0,5,0,1
1629,385630,4501,0,5,0,1
1630,385630,6117,0,5,0,1
1631,385630,3657,0,5,1,1
1632,385630,3758,0,5,0,1
1633,385630,4992,0,5,0,1
1634,385630,3632,0,5,0,1
1635,385630,7748,0,7,0,1
1636,385630,7746,0,7,1,1
1637,385630,7747,0,7,0,1
1638,385630,7744,0,7,0,1
1639,385630,7745,0,7,0,1
1640,385630,7416,0,7,1,1
1641,385630,7417,0,7,0,1
1642,385630,7420,0,7,0,1
1643,385630,7419,0,7,0,1
1644,385630,7418,0,7,0,1
1645,385630,7347,0,7,1,1
1646,385630,7346,0,7,0,1
1647,385630,29695,1,6,-1,1
2104,408250,130,0,1,1,1
2105,408250,10502,0,1,1,1
2106,408250,8,0,1,1,1
2107,408250,83,0,1,0,1
2108,408250,84,0,1,1,1
2109,408250,10589,0,1,1,1
2110,408250,18,0,1,1,1
2111,408250,2,0,1,1,1
2112,408250,163,0,1,1,1
2113,408250,10614,0,1,1,1
2114,408250,141,0,1,1,1
2115,408250,95,0,1,1,1
2116,408250,85,0,1,1,1
2117,408250,10667,0,1,1,1
2118,408250,32,0,1,1,1
2119,408250,191,0,1,1,1
2120,408250,89,0,1,1,1
2121,408250,10618,0,1,1,1
2122,408250,110,0,1,1,1
2123,408250,9,0,1,0,1
2124,408250,7859,0,1,0,1
2125,408250,10601,0,1,0,1
2126,408250,144,0,1,1,1
2127,408250,7920,0,1,0,1
2128,408250,64,0,1,1,1
2129,408250,10621,0,1,1,1
2130,408250,7871,0,1,1,1
2131,408250,7972,0,1,1,1
2132,408250,7903,0,1,0,1
2133,408250,10575,0,1,1,1
2134,408250,5164,0,5,1,1
2135,408250,8567,0,5,1,1
2136,408250,5691,0,5,0,1
2137,408250,3609,0,5,1,1
2138,408250,9259,0,5,1,1
2139,408250,3916,0,5,0,1
2140,408250,4976,0,5,0,1
2141,408250,6154,0,5,1,1
2142,408250,5400,0,5,0,1
2143,408250,12811,1,5,-1,1
2144,408250,5400,0,5,1,1
2145,408250,5367,0,5,1,1
2146,408250,8696,0,5,0,1
2147,408250,4434,0,5,0,1
2148,408250,15888,1,5,-1,1
2149,408250,4434,0,5,1,1
2150,408250,5691,0,5,1,1
2151,408250,6318,0,5,0,1
2152,408250,5760,0,5,1,1
2153,408250,8413,0,5,0,1
2154,408250,4073,0,5,1,1
2169,444790,9780,0,5,0,1
2170,444790,8398,0,5,0,1
2917,475020,7486,0,7,1,1
2918,475020,7488,0,7,1,1
2919,475020,7484,0,7,1,1
2920,475020,7487,0,7,0,1
2921,475020,7485,0,7,1,1
2922,475020,7116,0,7,1,1
2923,475020,7113,0,7,1,1
2924,475020,7115,0,7,0,1
2925,475020,7114,0,7,1,1
2926,475020,16874,1,6,-1,1
2927,475020,12164,0,2,1,1
2928,475020,10300,0,6,1,1
2929,475020,10302,0,6,0,1
2930,475020,10301,0,6,1,1
2931,475020,10303,0,6,1,1
2932,475020,1518,0,3,1,1
2933,475020,1517,0,3,1,1
2934,475020,1519,0,3,1,1
2935,475020,2496,0,3,1,1
2936,475020,2495,0,3,1,1
2937,475020,2494,0,3,0,1
2938,475020,2210,0,3,0,1
2939,475020,2211,0,3,1,1
2940,475020,2209,0,3,1,1
2941,475020,6788,0,6,1,1
2942,475020,6785,0,6,1,1
2943,475020,6787,0,6,1,1
2944,475020,6786,0,6,1,1
2945,475020,2096,0,3,1,1
2946,475020,2098,0,3,1,1
2947,475020,2097,0,3,0,1
2948,475020,1982,0,3,0,1
2949,475020,1984,0,3,0,1
2950,475020,1983,0,3,1,1
2951,475020,2372,0,3,0,1
2952,475020,2373,0,3,0,1
2953,475020,2371,0,3,1,1
2954,475020,1719,0,3,1,1
2955,475020,1720,0,3,1,1
2956,475020,1718,0,3,0,1
2957,475020,2250,0,3,0,1
2958,475020,2248,0,3,0,1
2959,475020,2249,0,3,1,1
2960,475020,3937,1,6,-1,1
2961,475020,13005,0,3,1,1
2962,475020,13004,0,3,1,1
2963,475020,13006,0,3,1,1
2964,475020,10202,0,6,1,1
2965,475020,10203,0,6,1,1
2966,475020,10200,0,6,1,1
2967,475020,10201,0,6,0,1
2968,475020,6848,0,6,1,1
2969,475020,6846,0,6,1,1
2970,475020,6847,0,6,1,1
2971,475020,6845,0,6,1,1
2972,475020,6857,0,6,1,1
2973,475020,6858,0,6,1,1
2974,475020,6860,0,6,1,1
2975,475020,6859,0,6,1,1
2976,475020,2159,0,3,1,1
2977,475020,2161,0,3,0,1
2978,475020,2160,0,3,1,1
2979,475020,1453,0,3,1,1
2980,475020,1451,0,3,1,1
2981,475020,1452,0,3,1,1
2982,475020,1628,0,3,0,1
2983,475020,1630,0,3,0,1
2984,475020,1629,0,3,0,1
2985,475020,2335,0,3,1,1
2986,475020,2337,0,3,0,1
2987,475020,2336,0,3,0,1
2988,475020,2027,0,3,1,1
2989,475020,2028,0,3,0,1
2990,475020,2029,0,3,1,1
2991,475020,2154,0,3,1,1
2992,475020,2155,0,3,0,1
2993,475020,2153,0,3,1,1
2994,475020,1612,0,3,1,1
2995,475020,1611,0,3,0,1
2996,475020,1610,0,3,0,1
2997,475020,7008,1,6,-1,1
2998,475020,11016,0,6,1,1
2999,475020,11017,0,6,1,1
